feature,bin,total,bad,good,bad_dist,good_dist,woe,iv_component,event_rate
DebtRatio,"(0.134, 0.287]",24000,1374,22626,0.1713092789929582,0.2020556966999013,0.16507281368482393,0.005075397681613992,0.05725
DebtRatio,"(0.287, 0.467]",24000,1473,22527,0.18364803390041753,0.20117162209829303,0.09113731850853703,0.0015970528390022198,0.061375
DebtRatio,"(0.467, 3.66]",24000,2382,21618,0.296940238050726,0.19305420984716226,-0.43055987036849674,0.0447291548364244,0.09925
DebtRatio,"(3.66, 4979.04]",24000,1311,22689,0.1634573440518477,0.2026182896281975,0.21477179866198548,0.00841066671873677,0.054625
MonthlyIncome,"(-0.001, 3000.0]",20155,1827,18328,0.2277542372881356,0.16367362611848332,-0.33039278063306815,0.02117177130900786,0.09064748201438849
MonthlyIncome,"(3000.0, 4516.0]",18379,1574,16805,0.19622382851445663,0.15007322605418727,-0.2681326412086201,0.012374482931041066,0.08564122095870287
MonthlyIncome,"(4516.0, 6300.0]",19385,1367,18018,0.17042622133599203,0.16090532406993982,-0.05748634087584696,0.0005473215456801967,0.07051844209440289
MonthlyIncome,"(6300.0, 9070.0]",19142,1059,18083,0.13204137587238285,0.16148577449947313,0.2013017281398107,0.005927208327670743,0.05532337268832933
MonthlyIncome,"(9070.0, 25000.0]",19264,875,18389,0.10911016949152542,0.1642183565215838,0.40883888337951474,0.022530369650438527,0.045421511627906974
MonthlyIncome,Missing,23675,1319,22356,0.16444416749750748,0.19964369273633262,0.1939631361228174,0.006827410305356787,0.05571277719112988
NumberOfOpenCreditLinesAndLoans,"(-0.001, 4.0]",26907,2505,24402,0.3122702062690846,0.2179154592499654,-0.35976167277356524,0.03394522162172489,0.09309845021741554
NumberOfOpenCreditLinesAndLoans,"(4.0, 6.0]",21165,1243,19922,0.15498223967096653,0.17790885101556952,0.13796081860553797,0.003162974068952443,0.05872903378218757
NumberOfOpenCreditLinesAndLoans,"(6.0, 9.0]",29677,1632,28045,0.20346482208512495,0.2504476185798547,0.20775666569994652,0.009760989145004189,0.05499208140984601
NumberOfOpenCreditLinesAndLoans,"(9.0, 12.0]",20029,1194,18835,0.14887517916121393,0.16820189049084,0.12205675590835816,0.0023589556872714696,0.05961356033751061
NumberOfOpenCreditLinesAndLoans,"(12.0, 24.0]",22222,1447,20775,0.18040755281361,0.18552618066377036,0.027977533952666077,0.00014320658446892323,0.06511565115651156
NumberOfTimes90DaysLate,0,113294,5226,108068,0.6514396111180356,0.9650610371402292,0.39300665006000507,0.123255306028024,0.04612777375677441
NumberOfTimes90DaysLate,1,4230,1431,2799,0.17842452947775148,0.02499977674784115,-1.9652988130246776,0.3015254844286974,0.3382978723404255
NumberOfTimes90DaysLate,2,1256,622,634,0.07758943038763555,0.005666139791571784,-2.616923138459876,0.18821772335501288,0.49522292993630573
NumberOfTimes90DaysLate,3,1220,742,478,0.09254642901657734,0.004273046320357918,-3.0753834570593015,0.271474500842618,0.6081967213114754
NumberRealEstateLoansOrLines,0,44900,3740,41160,0.466193057892441,0.3675651781767524,-0.2376991771449332,0.023443765851968626,0.08329621380846325
NumberRealEstateLoansOrLines,1,41928,2190,39738,0.2730105315635321,0.3548666520809241,0.2622317193718347,0.021465271224383818,0.05223239839725243
NumberRealEstateLoansOrLines,2,25254,1406,23848,0.1752975634074905,0.21296821349955128,0.19465802990405598,0.007332894532125596,0.05567434861804071
NumberRealEstateLoansOrLines,3,5011,349,4662,0.043559543839970086,0.04163634171715864,-0.04515544114469976,8.684304026597394e-05,0.06964677709040112
NumberRealEstateLoansOrLines,4,2907,336,2571,0.04193930329656634,0.022963614525613605,-0.6023124272927176,0.011429293163183706,0.11558307533539731
NumberOfTime60-89DaysPastDueNotWorse,0,113881,5791,108090,0.7219071361794952,0.9652618089756698,0.2905028588100117,0.07069522815206371,0.05085132726266892
NumberOfTime60-89DaysPastDueNotWorse,1,4626,1443,3183,0.17993144281707696,0.0284290568447185,-1.845164154637864,0.2795467719383062,0.3119325551232166
NumberOfTime60-89DaysPastDueNotWorse,2,1493,787,706,0.09816142100342785,0.006309134179611629,-2.74461482356716,0.25209914799518857,0.5271265907568654
NumberOfDependents,0.0,69494,4068,65426,0.5070413758723828,0.5842590773517172,0.14175190058066026,0.010945755943165708,0.058537427691599274
NumberOfDependents,1.0,21118,1568,19550,0.19547607178464607,0.1745860941937097,-0.11301998053051807,0.002360984860610586,0.07424945544085614
NumberOfDependents,2.0,15600,1270,14330,0.15833748753738783,0.12797145969888019,-0.2129214841452176,0.0064655797149700414,0.08141025641025641
NumberOfDependents,3.0,7559,667,6892,0.08318793619142573,0.06155007054705221,-0.3012513408102739,0.006518436037640084,0.08823918507739119
NumberOfDependents,4.0,3101,310,2791,0.03869641076769691,0.02492811344680395,-0.4397506300569395,0.00605461742167395,0.0999677523379555
NumberOfDependents,Missing,3128,138,2990,0.01726071784646062,0.026705184761836722,0.43642445742339725,0.004121796349196242,0.04411764705882353
monthly_income_missing,0,96325,6702,89623,0.8355148342059336,0.800352741560993,-0.042995545322807756,0.0015118133479603104,0.06957695302361797
monthly_income_missing,1,23675,1319,22356,0.16448516579406633,0.19964725843900696,0.19373171298375258,0.006812012440197757,0.05571277719112988
income_band,1.0,14601,1253,13348,0.1562285785505079,0.11920272545018597,-0.2704945630562274,0.010015291956155642,0.08581603999726047
income_band,2.0,30266,2599,27667,0.3239857917367732,0.24707206101007756,-0.2710196231077359,0.020845130313358946,0.08587193550518733
income_band,3.0,60514,3535,56979,0.4406431108618433,0.5088295834579819,0.14387787853742237,0.009810525022082506,0.058416234259840695
income_band,4.0,12959,543,12416,0.06773851810307223,0.11087992212999469,0.4927928622465471,0.021259775971761832,0.04190138127941971
income_band,5.0,1660,91,1569,0.011404000747803327,0.014015707951759888,0.20621446057762668,0.0005385717922506039,0.054819277108433734
dependents_missing,0,116872,7883,108989,0.9827349788082772,0.9732943382746919,-0.009652936954430081,9.112990788013594e-05,0.06744985967554247
dependents_missing,1,3128,138,2990,0.01726502119172276,0.02670566172530809,0.4361930342843324,0.0041179416399322434,0.04411764705882353
estimated_monthly_debt,"(-0.001, 547.841]",24000,1601,22399,0.19960117155854676,0.20002857614873887,0.0021390036933144714,9.142199969604808e-07,0.06670833333333333
estimated_monthly_debt,"(547.841, 1551.755]",24000,1765,22235,0.22004112918302488,0.1985640485258726,-0.10270276902944576,0.0022057556541582885,0.07354166666666667
estimated_monthly_debt,"(1551.755, 2767.989]",24000,1426,22574,0.1777902411665732,0.20159133428289494,0.12563811556920496,0.002990324487621841,0.059416666666666666
estimated_monthly_debt,"(2767.989, 7635.296]",24000,1772,22228,0.2209135663987038,0.19850153820050634,-0.10697467353084548,0.0023975193996662765,0.07383333333333333
estimated_monthly_debt,"(7635.296, 26384400.0]",24000,1457,22543,0.18165389169315138,0.2013145028419873,0.10276519339470531,0.002020426506968222,0.060708333333333336
payment_burden_proxy,"(-0.001, 0.134]",24000,1481,22519,0.1846451050040506,0.2011001817264459,0.08536756908394358,0.0014047298988806723,0.06170833333333333
payment_burden_proxy,"(0.134, 0.287]",24000,1374,22626,0.1713092789929582,0.2020556966999013,0.16507281368482393,0.005075397681613992,0.05725
payment_burden_proxy,"(0.287, 0.467]",24000,1473,22527,0.18364803390041753,0.20117162209829303,0.09113731850853703,0.0015970528390022198,0.061375
payment_burden_proxy,"(0.467, 3.66]",24000,2382,21618,0.296940238050726,0.19305420984716226,-0.43055987036849674,0.0447291548364244,0.09925
payment_burden_proxy,"(3.66, 4979.04]",24000,1311,22689,0.1634573440518477,0.2026182896281975,0.21477179866198548,0.00841066671873677,0.054625
debt_to_income_ratio,"(-0.001, 0.134]",24000,1481,22519,0.1846451050040506,0.2011001817264459,0.08536756908394358,0.0014047298988806723,0.06170833333333333
debt_to_income_ratio,"(0.134, 0.287]",24000,1374,22626,0.1713092789929582,0.2020556966999013,0.16507281368482393,0.005075397681613992,0.05725
debt_to_income_ratio,"(0.287, 0.467]",24000,1473,22527,0.18364803390041753,0.20117162209829303,0.09113731850853703,0.0015970528390022198,0.061375
debt_to_income_ratio,"(0.467, 3.66]",24000,2382,21618,0.296940238050726,0.19305420984716226,-0.43055987036849674,0.0447291548364244,0.09925
debt_to_income_ratio,"(3.66, 4979.04]",24000,1311,22689,0.1634573440518477,0.2026182896281975,0.21477179866198548,0.00841066671873677,0.054625
total_past_due_events,0,95692,2623,93069,0.3269362577107608,0.8311075391244168,0.9329939744304222,0.47038876763980586,0.02741085984199306
total_past_due_events,1,13778,1675,12103,0.20879805595364198,0.10808385238764985,-0.658460208528412,0.06631629548183611,0.12157061982871244
total_past_due_events,2,4798,1148,3650,0.14312418219203688,0.03259884356930771,-1.4794358459407302,0.163515147843203,0.23926636098374324
total_past_due_events,3,2303,803,1500,0.10013084927409807,0.0133994150871788,-2.0112667676048632,0.17444005128685905,0.34867564046895355
total_past_due_events,4,1265,542,723,0.06760545828400523,0.0064608309334047735,-2.3479307866507937,0.14356335299476497,0.42845849802371544
total_past_due_events,5,761,389,372,0.0485388497725715,0.0033264126091130312,-2.6804700747989063,0.12119058482537638,0.5111695137976346
total_past_due_events,6,1403,841,562,0.10486634681288554,0.005023106288929074,-3.038638126860003,0.3033874773653478,0.5994297933000713
has_past_due,0,95692,2623,93069,0.32703814510097234,0.8311260939453474,0.9327047051652537,0.4701652017042503,0.02741085984199306
has_past_due,1,24308,5398,18910,0.6729618548990277,0.1688739060546526,-1.3825363304206475,0.6969199030045735,0.22206680928089517
credit_utilization,"(-0.001, 0.0191]",24000,461,23539,0.05751853929083318,0.21020882913695565,1.2959941427810724,0.197885721300119,0.019208333333333334
credit_utilization,"(0.0191, 0.0826]",24000,411,23589,0.05128684489312644,0.21065533146100027,1.4127890132152754,0.22515404687583834,0.017125
credit_utilization,"(0.0826, 0.271]",24000,697,23303,0.08693213684800898,0.20810133816746515,0.8728973857465578,0.10576827906475166,0.029041666666666667
credit_utilization,"(0.271, 0.696]",24000,1673,22327,0.20857481149124446,0.19938561280211464,-0.045057082516245975,0.0004140384835943016,0.06970833333333333
credit_utilization,"(0.696, 1.093]",24000,4779,19221,0.5956876674767869,0.17164888843246429,-1.2442654377432165,0.5276167970276832,0.199125
high_credit_utilization,0,100007,3805,96202,0.4743829468960359,0.8591043043400607,0.5938754395617831,0.22847656526087612,0.03804733668643195
high_credit_utilization,1,19993,4216,15777,0.5256170531039641,0.14089569565993929,-1.3165530421291878,0.5065060735150015,0.2108738058320412
age_band,1.0,8633,971,7662,0.12107427716849452,0.06842617563536997,-0.5706487820068492,0.030043575014850454,0.1124753851500058
age_band,2.0,32418,3003,29415,0.37431455633100696,0.26268060938365095,-0.3541576224397418,0.03953601323443988,0.0926337220062928
age_band,3.0,42914,2943,39971,0.3668369890329013,0.35694575913986176,-0.027333742754821644,0.0002703643334251446,0.06857901850212052
age_band,4.0,27932,931,27001,0.11608923230309073,0.24112357343144433,0.7309504155234045,0.09139390360246516,0.03333094658456251
age_band,5.0,8102,173,7929,0.02162263210368893,0.07081048739976067,1.1862665681179205,0.0583499082951519,0.02135275240681313
age_band,Missing,1,0,1,6.231306081754735e-05,1.3395009912307335e-05,-1.5372888047657114,7.520117200758466e-05,0.0
